New Contact Identifier,Contact ID,Prefix,First Name,Middle Name,Last Name,Suffix,Gender,Employer,Is Active,Email Address,Contact Email Address ID,Is Primary Email Address,Phone Number Priority Order,Phone Type,phoneNumberAsEntered,Is Preferred,Is SMS,Contact Phone Number ID,Address Type,Street,Line Two,Unit,City,State,Postal Code,Contact Address ID,Address Priority Order,* NOT MAPPED *,studentNumber,Contact Priority Order,Student Contact ID,Student Contact Detail ID,Relationship Type,Relationship Note,STUDENTCONTACTDETAILCOREFIELDS.legalGuardian,Contact Has Custody,Contact Lives With,Contact Allow School Pickup,Is Emergency Contact,Contact Receives Mailings
dd81ad45-77d1-11ec-8267-025d0f476dca,,Mr.,Theo,Ray,Owens,,M,Infosys public services,1,theo.owens39@gmail.com,,1,1,Mobile,735-491-6245,1,,,Home,6 Chestnut Ave,,,Victoria,AB,M0C 1G2,,,,,,,,,,,,,,,
dd81ad45-77d1-11ec-8267-025d0f476dca,,,,,,,,,,,,,3,Work,804-080-1568,1,,,,,,,,,,,,,,,,,,,,,,,,
dd81ad45-77d1-11ec-8267-025d0f476dca,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dakota Reed,389501,2,,,Father,,1,1,1,1,1,1
dd81ad3a-77d1-11ec-8267-025d0f476dca,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayden Reed,389502,1,,,Mother,,1,1,1,1,1,1
dd81ad45-77d1-11ec-8267-025d0f476dca,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayden Reed,389502,2,,,Father,,1,1,1,1,1,1
f5015652-994e-11ef-8cfd-f244e3fa3e83,,Mrs.,Tristan,James,Douglas,,F,,1,tristan.douglas32@gmail.com,,1,1,Mobile,980-192-1201,1,,,Home,16 Kenwood Court,,,Saskatoon,QC,B5T 8P3,,,,,,,,,,,,,,,
f5015652-994e-11ef-8cfd-f244e3fa3e83,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron James,416001,1,,,Mother,,1,1,1,1,1,1
f5362ce2-994e-11ef-841f-6409167b20df,,Mr.,Blake,Rue,Owens,,M,Whyte Ridge Heating and Air Conditioning,1,blake.owens14@gmail.com,,1,1,Mobile,519-848-2651,1,,,Home,02 Oblik Boulevard,,,Regina,NB,B8X 1X2,,,,,,,,,,,,,,,
f5362ce2-994e-11ef-841f-6409167b20df,,,,,,,,,,,,,3,Work,411-942-4301,1,,,,,,,,,,,,,,,,,,,,,,,,
f5362ce2-994e-11ef-841f-6409167b20df,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron James,416001,2,,,Father,,1,1,1,1,1,1
6b6b998c-d6be-11ee-9cde-d958fb6d5a54,,Mrs.,Bailey,Faye,Archer,,F,South sherbrook health centre,1,bailey.archer53@yahoo.com,,1,1,Mobile,326-490-0204,1,,,Home,992 Barrmill Boulevard,,,Hamilton,AB,W0B 1K4,,,,,,,,,,,,,,,
6b6b998c-d6be-11ee-9cde-d958fb6d5a54,,,,,,,,,,,,,3,Work,874-180-8525,1,,,,,,,,,,,,,,,,,,,,,,,,
6b6b998c-d6be-11ee-9cde-d958fb6d5a54,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finley Rivera,412902,1,,,Mother,,1,1,1,1,1,1
6bbcab06-d6be-11ee-8345-765ddc30730c,,Mr.,Devin,Rain,Jensen,,M,South sherbrook pharmacy,1,devin.jensen94@hotmail.com,,1,1,Mobile,791-344-7605,1,,,Home,771 Elm Boulevard,,,Calgary,NS,N6Z 5K6,,,,,,,,,,,,,,,
6bbcab06-d6be-11ee-8345-765ddc30730c,,,,,,,,,,,,,3,Work,840-597-3504,1,,,,,,,,,,,,,,,,,,,,,,,,
6bbcab06-d6be-11ee-8345-765ddc30730c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finley Rivera,412902,2,,,Father,,1,1,1,1,1,1
6b6b998c-d6be-11ee-9cde-d958fb6d5a54,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyler Rivera,412901,1,,,Mother,,1,1,1,1,1,1
6bbcab06-d6be-11ee-8345-765ddc30730c,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skyler Rivera,412901,2,,,Father,,1,1,1,1,1,1
896299b8-99aa-11ec-b1e3-025d0f476dca,,Mrs.,Charlie,,Foster,,F,African Ethnic Food Gateway Inc,1,charlie.foster16@gmail.com,,1,1,Mobile,989-996-8244,1,,,Home,8 Edgewood Square,,,Kelowna,QC,S9V 0W1,,,,,,,,,,,,,,,
896299b8-99aa-11ec-b1e3-025d0f476dca,,,,,,,,,,,,,3,Work,404-172-1463,1,,,,,,,,,,,,,,,,,,,,,,,,
896299b8-99aa-11ec-b1e3-025d0f476dca,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Cooper,334803,1,,,Mother,,1,1,1,1,1,1
896299bf-99aa-11ec-b1e3-025d0f476dca,,Mr.,Charlie,,Archer,,M,African Food General Inc,1,charlie.archer42@gmail.com,,1,1,Mobile,777-957-8914,1,,,Home,2 Kingfisher Street,,,Montreal,AB,B4V 0R9,,,,,,,,,,,,,,,
896299bf-99aa-11ec-b1e3-025d0f476dca,,,,,,,,,,,,,3,Work,385-895-1077,1,,,,,,,,,,,,,,,,,,,,,,,,
896299bf-99aa-11ec-b1e3-025d0f476dca,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Cooper,334803,2,,,Father,,1,1,1,1,1,1
