New Contact Identifier,Contact ID,Prefix,First Name,Middle Name,Last Name,Suffix,Gender,Employer,Is Active,State Contact ID,Exclude From State Reporting,PERSONCOREFIELDS.countryOfOrigin,PERSONCOREFIELDS.dob,PERSONCOREFIELDS.educationLevel,PERSONCOREFIELDS.employmentStatus,PERSONCOREFIELDS.govWorkLoc,PERSONCOREFIELDS.isAvailableAtWork,PERSONCOREFIELDS.isDeceased,PERSONCOREFIELDS.isOnActiveDuty,PERSONCOREFIELDS.livesOnBase,PERSONCOREFIELDS.maidenName,PERSONCOREFIELDS.militaryStatus,PERSONCOREFIELDS.needsInterpreterAssist,PERSONCOREFIELDS.occupation,PERSONCOREFIELDS.payGrade,PERSONCOREFIELDS.serviceBranch,PERSONCOREFIELDS.ssn,Email Address,Contact Email Address ID,Email Type,Is Primary Email Address,Extension,Is SMS,PHONENUMBERCOREFIELDS.isUnlisted,Contact Phone Number ID,phoneNumberAsEntered,Phone Type,Phone Number Priority Order,Is Preferred,Street,Line Two,Unit,City,State,Postal Code,Geocode Latitude,Geocode Longitude,PERSONADDRESSCOREFIELDS.addressVerification,PERSONADDRESSCOREFIELDS.county,PERSONADDRESSCOREFIELDS.isAddressVerified,PERSONADDRESSCOREFIELDS.line3,Contact Address ID,Address Type,Address Priority Order,Address Start Date,Address End Date,* NOT MAPPED *,studentNumber,Contact Priority Order,Student Contact ID,Student Contact Detail ID,Relationship Type,Original Contact Type,Relationship Note,Relationship Start Date,Relationship End Date,STUDENTCONTACTASSOCCOREFIELDS.legalGuardian,Contact Has Custody,Contact Lives With,Contact Allow School Pickup,Is Emergency Contact,Contact Receives Mailings,STUDENTCONTACTDETAILCOREFIELDS.classroomParticipation,STUDENTCONTACTDETAILCOREFIELDS.isCaregiver,STUDENTCONTACTDETAILCOREFIELDS.isVolunteer
JFC-b186d209dddec522,,,Isaac,,Keller,,,Fairview Accounting,1,JFC-b186d209dddec522,,,,,,,,,,,,,,,,,,eleanor.palmer@prairiemail.example,,Current,1,,0,,,(971) 058-0011,Mobile,1,1,106 Elm Street,,,Aspen Crossing,MB,Z2P8P5,,,,,,,,Home,1,,,"Hartwell, Hannah",3703,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-60fa6dc9c4a2a7e7,,,Ethan,,Hartwell,,,Cedar Works Cooperative,1,JFC-60fa6dc9c4a2a7e7,,,,,,,,,,,,,,,,,,eleanor.palmer@prairiemail.example,,Current,1,,0,,,(971) 069-5406,Mobile,1,1,106 Elm Street,,,Aspen Crossing,MB,Z2P8P5,,,,,,,,Home,1,,,"Hartwell, Hannah",3703,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-2e3ab463c50259ec,,,Julia,,Nolan,,,Cedar Works Cooperative,1,JFC-2e3ab463c50259ec,,,,,,,,,,,,,,,,,,elias.sawyer@prairiemail.example,,Current,1,,0,,,(971) 469-1111,Mobile,1,1,107 Fairview Avenue,,,Aspen Crossing,MB,Z2P9J3,,,,,,,,Home,1,,,"Mercer, Jonah",3301,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-90158a0be1f57dae,,,Leah,,Nolan,,,Clearwater Health Centre,1,JFC-90158a0be1f57dae,,,,,,,,,,,,,,,,,,elias.sawyer@prairiemail.example,,Current,1,,0,,,(971) 147-1272,Mobile,1,1,107 Fairview Avenue,,,Aspen Crossing,MB,Z2P9J3,,,,,,,,Home,1,,,"Mercer, Jonah",3301,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-0dab571b42bba9b7,,,Lucas,,Osborne,,,Golden Fields Farms,1,JFC-0dab571b42bba9b7,,,,,,,,,,,,,,,,,,emma.vickers@prairiemail.example,,Current,1,,0,,,(971) 058-4693,Mobile,1,1,108 Harvest Lane,,,Cedar Glen,MB,Z7K 7Z7,,,,,,,,Home,1,,,"Osborne, Levi",3603,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-23cf61d40a0bf649,,,Maya,,Osborne,,,Elm Prairie Hardware,1,JFC-23cf61d40a0bf649,,,,,,,,,,,,,,,,,,emma.vickers@prairiemail.example,,Current,1,,0,,,(971) 058-0108,Mobile,1,1,108 Harvest Lane,,,Cedar Glen,MB,Z7K 7Z7,,,,,,,,Home,1,,,"Osborne, Levi",3603,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-dee90e0c5af58c98,,,Nathan,,Quincy,,,Cedar Works Cooperative,1,JFC-dee90e0c5af58c98,,,,,,,,,,,,,,,,,,ethan.zimmer@prairiemail.example,,Current,1,,0,,,(108) 033-7103,Mobile,1,1,109 Lakeview Drive,,,Clearwater Bend,MB,Z7K7E8,,,,,,,,Home,1,,,"Quincy, Naomi",3704,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-532c70eade62aa99,,,Nora,,Quincy,,,Fairview Accounting,1,JFC-532c70eade62aa99,,,,,,,,,,,,,,,,,,ethan.zimmer@prairiemail.example,,Current,1,,0,,,(971) 069-0744,Mobile,1,1,109 Lakeview Drive,,,Clearwater Bend,MB,Z7K7E8,,,,,,,,Home,1,,,"Quincy, Naomi",3704,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-96d25d6bc3965201,,,Nathan,,Quincy,,,Cedar Works Cooperative,1,JFC-96d25d6bc3965201,,,,,,,,,,,,,,,,,,grace.foster@prairiemail.example,,Current,1,,0,,,(108) 033-7103,Mobile,1,1,110 Maple Bay,,,Clearwater Bend,MB,Z7K7E8,,,,,,,,Home,1,,,"Quincy, Oliver",3501,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-562efbfe90fc0574,,,Nora,,Quincy,,,Fairview Accounting,1,JFC-562efbfe90fc0574,,,,,,,,,,,,,,,,,,grace.foster@prairiemail.example,,Current,1,,0,,,(971) 069-0744,Mobile,1,1,110 Maple Bay,,,Clearwater Bend,MB,Z7K7E8,,,,,,,,Home,1,,,"Quincy, Oliver",3501,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-df2ef7555863bf40,,,Samuel,,Turner,,,Lake Briar Library,1,JFC-df2ef7555863bf40,,,,,,,,,,,,,,,,,,hannah.alder@prairiemail.example,,Current,1,,0,,,(971) 057-9878,Mobile,1,1,111 Meadowlark Road,,,Aspen Crossing,MB,Z2P 8R9,,,,,,,,Home,1,,,"Turner, Rachel",3502,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-19fd4af88b1b2fd1,,,Simon,,Turner,,,Golden Fields Farms,1,JFC-19fd4af88b1b2fd1,,,,,,,,,,,,,,,,,,hannah.alder@prairiemail.example,,Current,1,,0,,,(971) 057-9963,Mobile,1,1,111 Meadowlark Road,,,Aspen Crossing,MB,Z2P 8R9,,,,,,,,Home,1,,,"Turner, Rachel",3502,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-3aaf250496d67b5e,,,Samuel,,Turner,,,Lake Briar Library,1,JFC-3aaf250496d67b5e,,,,,,,,,,,,,,,,,,isaac.dalton@prairiemail.example,,Current,1,,0,,,(971) 057-9878,Mobile,1,1,112 Oak Ridge,,,Aspen Crossing,MB,Z2P 8R9,,,,,,,,Home,1,,,"Turner, Sophie",3705,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-cf89a91d8de0d215,,,Simon,,Turner,,,Golden Fields Farms,1,JFC-cf89a91d8de0d215,,,,,,,,,,,,,,,,,,isaac.dalton@prairiemail.example,,Current,1,,0,,,(971) 057-9963,Mobile,1,1,112 Oak Ridge,,,Aspen Crossing,MB,Z2P 8R9,,,,,,,,Home,1,,,"Turner, Sophie",3705,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-b53e4d69263b1a54,,,Victoria,,Walker,,,Maple Crossing Market,1,JFC-b53e4d69263b1a54,,,,,,,,,,,,,,,,,,jonah.gibson@prairiemail.example,,Current,1,,0,,,(971) 058-5208,Mobile,1,1,113 Parkland Way,,,Aspen Crossing,MB,Z2P 8R3,,,,,,,,Home,1,,,"Walker, Theo",3706,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-d262a1cdda676c21,,,William,,Walker,,,Aspen Valley Foods,1,JFC-d262a1cdda676c21,,,,,,,,,,,,,,,,,,jonah.gibson@prairiemail.example,,Current,1,,0,,,(971) 058-8029,Mobile,1,1,113 Parkland Way,,,Aspen Crossing,MB,Z2P 8R3,,,,,,,,Home,1,,,"Walker, Theo",3706,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-064cbaa42aad34e7,,,Amelia,,Zimmer,,,North Willow Dental,1,JFC-064cbaa42aad34e7,,,,,,,,,,,,,,,,,,julia.jensen@prairiemail.example,,Current,1,,0,,,(971) 663-0552,Mobile,1,1,114 Pinecrest Avenue,,,Aspen Crossing,MB,Z2P 9W3,,,,,,,,Home,1,,,"Zimmer, Zoe",3402,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-aec8028ef1df020d,,,Benjamin,,Zimmer,,,Lake Briar Library,1,JFC-aec8028ef1df020d,,,,,,,,,,,,,,,,,,julia.jensen@prairiemail.example,,Current,1,,0,,,(971) 465-4044,Mobile,1,1,114 Pinecrest Avenue,,,Aspen Crossing,MB,Z2P 9W3,,,,,,,,Home,1,,,"Zimmer, Zoe",3402,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-c9fab519715a788b,,,Daniel,,Collins,,,Parkland Construction,1,JFC-c9fab519715a788b,,,,,,,,,,,,,,,,,,leah.mercer@prairiemail.example,,Current,1,,0,,,(971) 069-9662,Mobile,1,1,115 Prairie Trail,,,Birch Harbour,MB,Z2P8 X6,,,,,,,,Home,1,,,"Collins, Clara",3707,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-355db5286cf8c3fb,,,Eleanor,,Collins,,,,1,JFC-355db5286cf8c3fb,,,,,,,,,,,,,,,,,,leah.mercer@prairiemail.example,,Current,1,,0,,,(971) 048-9461,Mobile,1,1,115 Prairie Trail,,,Birch Harbour,MB,Z2P8 X6,,,,,,,,Home,1,,,"Collins, Clara",3707,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-f6c148a043f98006,,,Emma,,Morrison,,,Prairie Junction Credit Union,1,JFC-f6c148a043f98006,,,,,,,,,,,,,,,,,,levi.palmer@prairiemail.example,,Current,1,,0,,,(971) 069-1191,Mobile,1,1,116 Riverbend Road,,,Elm Prairie,MB,Z7N8A7,,,,,,,,Home,1,,,"Morrison, Elias",3201,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-f6c148a043f98006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(997) 106-9119,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFC-bf3f392fffa01b3c,,,Ethan,,Morrison,,,Maple Crossing Market,1,JFC-bf3f392fffa01b3c,,,,,,,,,,,,,,,,,,levi.palmer@prairiemail.example,,Current,1,,0,,,(971) 058-3119,Mobile,1,1,116 Riverbend Road,,,Elm Prairie,MB,Z7N8A7,,,,,,,,Home,1,,,"Morrison, Elias",3201,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-b019da329414ce4b,,,Hannah,,Sullivan,,,Riverstone Pharmacy,1,JFC-b019da329414ce4b,,,,,,,,,,,,,,,,,,lucas.sawyer@prairiemail.example,,Current,1,,0,,,(971) 058-9786,Mobile,1,1,117 Silverleaf Crescent,,,Birch Harbour,MB,Z2P7R2,,,,,,,,Home,1,,,"Sullivan, Grace",3708,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-b019da329414ce4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(108) 118-4812,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFC-18cb684496d0c6c4,,,Isaac,,Sullivan,,,,1,JFC-18cb684496d0c6c4,,,,,,,,,,,,,,,,,,lucas.sawyer@prairiemail.example,,Current,1,,0,,,(971) 175-5154,Mobile,1,1,117 Silverleaf Crescent,,,Birch Harbour,MB,Z2P7R2,,,,,,,,Home,1,,,"Sullivan, Grace",3708,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-23ac8896c403d266,,,Julia,,Sullivan,,,Aspen Valley Foods,1,JFC-23ac8896c403d266,,,,,,,,,,,,,,,,,,maya.vickers@prairiemail.example,,Current,1,,0,,,(971) 013-1906,Mobile,1,1,118 Spruce Street,,,Birch Harbour,MB,Z2P7C2,,,,,,,,Home,1,,,"Sullivan, Jonah",3503,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-73700a8185a3bbcb,,,Leah,,Sullivan,,,,1,JFC-73700a8185a3bbcb,,,,,,,,,,,,,,,,,,maya.vickers@prairiemail.example,,Current,1,,0,,,(971) 058-8357,Mobile,1,1,118 Spruce Street,,,Birch Harbour,MB,Z2P7C2,,,,,,,,Home,1,,,"Sullivan, Jonah",3503,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-efa628fe0435a7f6,,,Lucas,,Carver,,,Cedar Works Cooperative,1,JFC-efa628fe0435a7f6,,,,,,,,,,,,,,,,,,naomi.zimmer@prairiemail.example,,Current,1,,0,,,(971) 022-4111,Mobile,1,1,119 Sunrise Bay,,,Fairview Ridge,MB,Z7K7E8,,,,,,,,Home,1,,,"Carver, Levi",3709,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-ec50efab4c8b4f17,,,Maya,,Carver,,,Aspen Valley Foods,1,JFC-ec50efab4c8b4f17,,,,,,,,,,,,,,,,,,naomi.zimmer@prairiemail.example,,Current,1,,0,,,(971) 057-0305,Mobile,1,1,119 Sunrise Bay,,,Fairview Ridge,MB,Z7K7E8,,,,,,,,Home,1,,,"Carver, Levi",3709,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-53d1ce621bc34ab6,,,Nora,,Ellis,,,,1,JFC-53d1ce621bc34ab6,,,,,,,,,,,,,,,,,,nathan.foster@prairiemail.example,,Current,1,,0,,,(971) 048-5709,Mobile,1,1,120 Willow Lane,,,Golden Fields,MB,Z7K8P7,,,,,,,,Home,1,,,"Ellis, Nathan",3504,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-df7f84dab5cbfbb8,,,Oliver,,Ellis,,,,1,JFC-df7f84dab5cbfbb8,,,,,,,,,,,,,,,,,,nathan.foster@prairiemail.example,,Current,1,,0,,,(970) 672-6339,Mobile,1,1,120 Willow Lane,,,Golden Fields,MB,Z7K8P7,,,,,,,,Home,1,,,"Ellis, Nathan",3504,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-b1c61fe528d1f7b7,,,Nora,,Ellis,,,,1,JFC-b1c61fe528d1f7b7,,,,,,,,,,,,,,,,,,nora.alder@prairiemail.example,,Current,1,,0,,,(971) 048-5709,Mobile,1,1,121 Aspen Grove,,,Golden Fields,MB,Z7K8P7,,,,,,,,Home,1,,,"Ellis, Rachel",3710,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-dca07f44af7364e1,,,Oliver,,Ellis,,,,1,JFC-dca07f44af7364e1,,,,,,,,,,,,,,,,,,nora.alder@prairiemail.example,,Current,1,,0,,,(971) 672-6339,Mobile,1,1,121 Aspen Grove,,,Golden Fields,MB,Z7K8P7,,,,,,,,Home,1,,,"Ellis, Rachel",3710,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-bdc42933147a7cfa,,,Sophie,,Hartwell,,,Cedar Works Cooperative,1,JFC-bdc42933147a7cfa,,,,,,,,,,,,,,,,,,oliver.dalton@prairiemail.example,,Current,1,,0,,,(971) 058-4434,Mobile,1,1,122 Birchwood Drive,,,Cedar Glen,MB,Z7K 7Z7,,,,,,,,Home,1,,,"Hartwell, Simon",3711,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-29017cbe72321375,,,Theo,,Hartwell,,,North Willow Dental,1,JFC-29017cbe72321375,,,,,,,,,,,,,,,,,,oliver.dalton@prairiemail.example,,Current,1,,0,,,(971) 058-3849,Mobile,1,1,122 Birchwood Drive,,,Cedar Glen,MB,Z7K 7Z7,,,,,,,,Home,1,,,"Hartwell, Simon",3711,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-e7eb74a810d2f274,,,Victoria,,Jensen,,,Clearwater Health Centre,1,JFC-e7eb74a810d2f274,,,,,,,,,,,,,,,,,,rachel.gibson@prairiemail.example,,Current,1,,0,,,(971) 048-9868,Mobile,1,1,123 Cedar Lane,,,Lake Briar,MB,Z2R7N0,,,,,,,,Home,1,,,"Jensen, Elias",3505,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-2d2f27b122dcf14a,,,William,,Jensen,,,Lake Briar Library,1,JFC-2d2f27b122dcf14a,,,,,,,,,,,,,,,,,,rachel.gibson@prairiemail.example,,Current,1,,0,,,(971) 048-4408,Mobile,1,1,123 Cedar Lane,,,Lake Briar,MB,Z2R7N0,,,,,,,,Home,1,,,"Jensen, Elias",3505,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-22b98ebc9d660ce6,,,Victoria,,Jensen,,,Elm Prairie Hardware,1,JFC-22b98ebc9d660ce6,,,,,,,,,,,,,,,,,,samuel.jensen@prairiemail.example,,Current,1,,0,,,(971) 048-9868,Mobile,1,1,124 Clearwater Road,,,Lake Briar,MB,Z2R 7N0,,,,,,,,Home,1,,,"Jensen, Zoe",3302,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-465b395e20e861a4,,,William,,Jensen,,,Lake Briar Library,1,JFC-465b395e20e861a4,,,,,,,,,,,,,,,,,,samuel.jensen@prairiemail.example,,Current,1,,0,,,(971) 048-4408,Mobile,1,1,124 Clearwater Road,,,Lake Briar,MB,Z2R 7N0,,,,,,,,Home,1,,,"Jensen, Zoe",3302,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-11d7fea903e116ae,,,Benjamin,,Mercer,,,Fairview Accounting,1,JFC-11d7fea903e116ae,,,,,,,,,,,,,,,,,,simon.mercer@prairiemail.example,,Current,1,,0,,,(971) 058-3734,Mobile,1,1,125 Cottonwood Crescent,,,Birch Harbour,MB,Z2P9A4,,,,,,,,Home,1,,,"Mercer, Amelia",3506,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-11d7fea903e116ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(971) 093-9777,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFC-ee13e09f3237af98,,,Caleb,,Mercer,,,Parkland Construction,1,JFC-ee13e09f3237af98,,,,,,,,,,,,,,,,,,simon.mercer@prairiemail.example,,Current,1,,0,,,(971) 039-6812,Mobile,1,1,125 Cottonwood Crescent,,,Birch Harbour,MB,Z2P9A4,,,,,,,,Home,1,,,"Mercer, Amelia",3506,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-ee13e09f3237af98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(971) 175-1172,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFC-2cb559df5253939b,,,Daniel,,Osborne,,,Golden Fields Farms,1,JFC-2cb559df5253939b,,,,,,,,,,,,,,,,,,sophie.palmer@prairiemail.example,,Current,1,,0,,,(971) 069-9044,Mobile,1,1,126 Elm Street,,,Birch Harbour,MB,Z2P9L9,,,,,,,,Home,1,,,"Osborne, Clara",3712,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-ebc08ba03b4007fd,,,Eleanor,,Osborne,,,Prairie Junction Credit Union,1,JFC-ebc08ba03b4007fd,,,,,,,,,,,,,,,,,,sophie.palmer@prairiemail.example,,Current,1,,0,,,(971) 069-3926,Mobile,1,1,126 Elm Street,,,Birch Harbour,MB,Z2P9L9,,,,,,,,Home,1,,,"Osborne, Clara",3712,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-9ea5d51f9c20f590,,,Emma,,Quincy,,,Lake Briar Library,1,JFC-9ea5d51f9c20f590,,,,,,,,,,,,,,,,,,theo.sawyer@prairiemail.example,,Current,1,,0,,,(971) 058-9921,Mobile,1,1,127 Fairview Avenue,,,Fairview Ridge,MB,Z7K 7E9,,,,,,,,Home,1,,,"Quincy, Elias",3202,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-9ea5d51f9c20f590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(971) 058-8252,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFC-6415ee8455611196,,,Ethan,,Quincy,,,Riverstone Pharmacy,1,JFC-6415ee8455611196,,,,,,,,,,,,,,,,,,theo.sawyer@prairiemail.example,,Current,1,,0,,,(971) 561-3919,Mobile,1,1,127 Fairview Avenue,,,Fairview Ridge,MB,Z7K 7E9,,,,,,,,Home,1,,,"Quincy, Elias",3202,2,,,Mother,Mother,,,,0,0,0,0,0,0,,,
JFC-4570f0b5e7c90839,,,Emma,,Quincy,,,Lake Briar Library,1,JFC-4570f0b5e7c90839,,,,,,,,,,,,,,,,,,victoria.vickers@prairiemail.example,,Current,1,,0,,,(971) 058-9921,Mobile,1,1,128 Harvest Lane,,,Fairview Ridge,MB,Z7K 7E9,,,,,,,,Home,1,,,"Quincy, Grace",3713,1,,,Father,Father,,,,0,0,0,0,0,0,,,
JFC-4570f0b5e7c90839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,(971) 058-8252,Work,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
