Entry_Dates,First Name,Middle Name(s),Last Name,Student's Preferred Name (if different from legal first name),Gender,Birth Date,Current Grade,Applying For Grade,Early Years Program Selection,Middle Years Program Selection,Senior Years Program Selection,Street Address,Street Address Line 2,City,State / Province,Postal / Zip Code,Is your Mailing Address different than Physical Address?,Mailing Street Address,Mailing Street Address Line 2,Mailing City,Mailing State / Province,Mailing Postal / Zip Code,Citizenship Status,Have you attended a Manitoba school in the past?,Name of the last Manitoba school attended,Name of the school division,Church Attending,Denomination,MB Health # - 9 Digit,MB Health # - 6 Digit,Emergency Contact Name:,Emergency Contact Phone:,Allergies:,Medical Restrictions & Medications:,Father’s Surname,Father’s Given Name,Father's Address same as student,Father's Street Address,Father's Street Address Line 2,Father's City,Father's State / Province,Father's Postal / Zip Code,Father’s Workplace,Father’s Work Number,Father’s Cell Number,Father’s Email,Mother’s Surname,Mother’s Given Name,Mother's Address same as student,Mother's Street Address,Mother's Street Address Line 2,Mother's City,Mother's State / Province,Mother's Postal / Zip Code,Mother’s Workplace,Mother’s Work Number,Mother’s Cell Number,Mother’s Email,Student’s Parents Are,Student’s Parents - Other,Student Lives With,Student Lives With - Other,Custody Description,Custody Description - Other,Academic Support,Diagnosis/Assessments,Psychological Support,Name of Parent,Submission IP,Submission ID,Last Update Date
26-Aug-26,Rachel,Sawyer,Turner,Rachel,Male,"Mar 1, 2016",3,4,Early Years Half Day (4 days per week),,,111 Meadowlark Road,,Aspen Crossing,Mb,Z2P 8R9,No,,,,,,Canadian Citizen,Yes,Aspen Ridge School,Clearwater Plains School Division,Prairie Hope Church,,891749438,196511,Jonah Iverson,(971) 013-1297,,,Turner,Samuel,Yes,,,,,,Lake Briar Library,,(971) 057-9878,hannah.alder@prairiemail.example,Turner,Simon,Yes,,,,,,Golden Fields Farms,,(971) 057-9963,hannah.alder@prairiemail.example,Married,,,,,,None,None,None,Levi Palmer,192.0.2.11,3217789229539174416,
26-Aug-26,Sophie,Underwood,Turner,Sophie,Male,"Dec 21, 2017",1,2,Early Years Half Day (4 days per week),,,112 Oak Ridge,,Aspen Crossing,Mb,Z2P 8R9,No,,,,,,Canadian Citizen,No,,,Prairie Hope Church,,891680221,196511,Jonah Iverson,(971) 013-1297,,,Turner,Samuel,Yes,,,,,,Lake Briar Library,,(971) 057-9878,isaac.dalton@prairiemail.example,Turner,Simon,Yes,,,,,,Golden Fields Farms,,(971) 057-9963,isaac.dalton@prairiemail.example,Married,,,,,,None,None,None,Levi Palmer,192.0.2.12,3217785849539401506,
26-Aug-26,Theo,Vickers,Walker,,Male,"May 13, 2018",1,2,Early Years Half Day (4 days per week),,,113 Parkland Way,,Aspen Crossing,MB,Z2P 8R3,No,,,,,,Canadian Citizen,Yes,Lake Briar Collegiate,Aspen Valley School Division,Riverstone Fellowship,Christian Reformed,891441709,749851,Naomi Walker,(971) 058-8029,None,None,Walker,Victoria,Yes,,,,,,Maple Crossing Market,(971) 058-5208,(971) 058-5208,jonah.gibson@prairiemail.example,Walker,William,Yes,,,,,,Aspen Valley Foods,(971) 058-8029,(971) 058-8029,jonah.gibson@prairiemail.example,Married,,,,,,None,None,None,Naomi Walker,192.0.2.13,3238179952092836481,
26-Aug-26,Zoe,Young,Zimmer,,Female,"Jun 5, 2015",4,5,,Middle Years Music & Physical Education,,114 Pinecrest Avenue,,Aspen Crossing,MB,Z2P 9W3,No,,,,,,Canadian Citizen,No,,,Westfield Church,,890128775,929070,Oliver Sullivan,(971) 057-9547,,,Zimmer,Amelia,Yes,,,,,,North Willow Dental,,(971) 663-0552,julia.jensen@prairiemail.example,Zimmer,Benjamin,Yes,,,,,,Lake Briar Library,,(971) 465-4044,julia.jensen@prairiemail.example,Married,,,,,,None,None,None,Simon Gibson,192.0.2.14,3239654048129921320,
26-Aug-26,Caleb,Brooks,Collins,Clara,Male,"May 9, 2017",1,2,Early Years Half Day (4 days per week),,,115 Prairie Trail,,Birch Harbour,Mb,Z2P8 X6,Yes,115 Prairie Trail,,Birch Harbour,MB,Z2p8x6,Canadian Citizen,No,,,Cedar Grove Community Church,Lutheran,891599882,054266,Victoria Nolan,(971) 048-9468,none,None,Collins,Daniel,Yes,,,,,,Parkland Construction,(971) 069-9662,(971) 069-9662,leah.mercer@prairiemail.example,Collins,Eleanor,Yes,,,,,,,,(971) 048-9461,leah.mercer@prairiemail.example,Married,,,,,,None,None,None,Amelia Underwood,192.0.2.15,3256649098095727049,
26-Aug-26,Elias,Foster,Morrison,,Male,"Aug 12, 2013",6,7,,Physical Education,,116 Riverbend Road,,Elm Prairie,Manitoba,Z7N8A7,Yes,116 Riverbend Road,,Elm Prairie,Manitoba,Z7N8A7,Canadian Citizen,Yes,Maple Crossing School,Clearwater Plains School Division,Clearwater Fellowship,Mennonite,899012661,764404,Clara Foster,(971) 058-3119,,,Morrison,Emma,Yes,,,,,,Prairie Junction Credit Union,(997) 106-9119,(971) 069-1191,levi.palmer@prairiemail.example,Morrison,Ethan,Yes,,,,,,Maple Crossing Market,,(971) 058-3119,levi.palmer@prairiemail.example,Married,,,,,,none,none,none,Clara Foster,192.0.2.16,3240625478666676510,
26-Aug-26,Grace,,Sullivan,,Female,"Nov 10, 2018",1,2,Early Years Half Day (4 days per week),,,117 Silverleaf Crescent,,Birch Harbour,MB,Z2P7R2,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,Mennonite Brethren,891363925,133940,Elias Ellis,(108) 972-8307,,,Sullivan,Hannah,Yes,,,,,,Riverstone Pharmacy,(108) 118-4812,(971) 058-9786,lucas.sawyer@prairiemail.example,Sullivan,Isaac,Yes,,,,,,,,(971) 175-5154,lucas.sawyer@prairiemail.example,Married,,,,,,None,None,None,Grace Langford,192.0.2.17,3224121782689108032,
26-Aug-26,Jonah,Alder,Sullivan,,Female,"Jun 1, 2016",3,4,Early Years Half Day (4 days per week),,,118 Spruce Street,,Birch Harbour,Manitoba,Z2P7C2,No,,,,,,Canadian Citizen,Yes,North Willow Academy,Aspen Valley School Division,Elm Prairie Chapel,Non-denominational,890686187,221110,Jonah Sawyer,(971) 069-1957,,,Sullivan,Julia,Yes,,,,,,Aspen Valley Foods,,(971) 013-1906,maya.vickers@prairiemail.example,Sullivan,Leah,Yes,,,,,,,,(971) 058-8357,maya.vickers@prairiemail.example,Married,,,,,,None,None,None,Levi Brooks,192.0.2.18,3375911619989537086,
26-Aug-26,Levi,Bennett,Carver,,Male,"Feb 8, 2017",1,2,Early Years Half Day (4 days per week),,,119 Sunrise Bay,,Fairview Ridge,Manitoba,Z7K7E8,No,,,,,,Canadian Citizen,No,,,Gracefield Church,Pentecostal,891547350,241727,Naomi Carver,(971) 048-2496,None,NA,Carver,Lucas,Yes,,,,,,Cedar Works Cooperative,(971) 022-4111,(971) 022-4111,naomi.zimmer@prairiemail.example,Carver,Maya,Yes,,,,,,Aspen Valley Foods,,(971) 057-0305,naomi.zimmer@prairiemail.example,Married,,,,,,"Receives reading support twice weekly line 1
Receives reading support twice weekly line 2
Receives reading support twice weekly line 3",None,None,Oliver Jensen,192.0.2.19,3244457001281513908,
26-Aug-26,Naomi,Dalton,Ellis,Nathan,Male,"Mar 18, 2015",3,4,Early Years Half Day (4 days per week),,,120 Willow Lane,,Golden Fields,MB,Z7K8P7,Yes,120 Willow Lane,,Golden Fields,MB,Z7K8P7,Canadian Citizen,No,,,Harvest Community Fellowship,United,890679696,478199,Simon Quincy,(971) 069-3847,None,None,Ellis,Nora,Yes,,,,,,,,(971) 048-5709,nathan.foster@prairiemail.example,Ellis,Oliver,Yes,,,,,,,,(970) 672-6339,nathan.foster@prairiemail.example,Married,,,,,,None,None,None,Victoria Young,192.0.2.20,3258112932351911418,
26-Aug-26,Rachel,Fletcher,Ellis,,Male,"Dec 23, 2017",1,2,Early Years Half Day (4 days per week),,,121 Aspen Grove,,Golden Fields,MB,Z7K8P7,Yes,121 Aspen Grove,,Golden Fields,MB,Z7K8P7,Canadian Citizen,No,,,Harvest Community Fellowship,United,891398451,478199,Simon Quincy,(971) 069-3847,None,None,Ellis,Nora,Yes,,,,,,,,(971) 048-5709,nora.alder@prairiemail.example,Ellis,Oliver,Yes,,,,,,,,(971) 672-6339,nora.alder@prairiemail.example,Married,,,,,,None,None,None,Victoria Young,192.0.2.21,3258123412351026657,
26-Aug-26,Samuel,Gibson,Hartwell,Simon,Male,"Dec 3, 2017",1,2,Early Years Half Day (4 days per week),,,122 Birchwood Drive,,Cedar Glen,MB,Z7K 7Z7,Yes,122 Birchwood Drive,,Cedar Glen,MB,Z7K 7Z7,Canadian Citizen,Yes,Pinehaven School,Aspen Valley School Division,Lakeview Community Church,Anabaptist,891640987,412983,Amelia Alder,(971) 101-3388,Requires access to prescribed medication during school hours line 1,Requires access to prescribed medication during school hours line 1,Hartwell,Sophie,Yes,,,,,,Cedar Works Cooperative,,(971) 058-4434,oliver.dalton@prairiemail.example,Hartwell,Theo,Yes,,,,,,North Willow Dental,,(971) 058-3849,oliver.dalton@prairiemail.example,Married,,,,,,None,None,None,Clara Hartwell,192.0.2.22,3241115705081091527,
26-Aug-26,Elias,Iverson,Jensen,,Female,"May 27, 2015",3,4,Early Years Half Day (4 days per week),,,123 Cedar Lane,,Lake Briar,Manitoba,Z2R7N0,No,,,,,,Canadian Citizen,Yes,Prairie Junction Collegiate,Clearwater Plains School Division,North Willow Chapel,Lutheran,890560777,264819,Elias Osborne,(971) 048-4408,None,None,Jensen,Victoria,Yes,,,,,,Clearwater Health Centre,,(971) 048-9868,rachel.gibson@prairiemail.example,Jensen,William,Yes,,,,,,Lake Briar Library,,(971) 048-4408,rachel.gibson@prairiemail.example,Married,,,,,,Has a documented food allergy and carries emergency medication line 1,None,Has a documented food allergy and carries emergency medication line 1,Elias Osborne,192.0.2.23,3216078670290239135,
26-Aug-26,Zoe,Keller,Jensen,,Male,"Jan 14, 2014",5,6,,Middle Years Music & Physical Education,,124 Clearwater Road,,Lake Briar,Mb,Z2R 7N0,No,,,,,,Canadian Citizen,Yes,Prairie Junction Collegiate,Clearwater Plains School Division,North Willow Chapel,Lutheran,890996887,264819,Elias Osborne,(971) 048-4408,None,Meets periodically with the school support team line 1,Jensen,Victoria,Yes,,,,,,Elm Prairie Hardware,,(971) 048-9868,samuel.jensen@prairiemail.example,Jensen,William,Yes,,,,,,Lake Briar Library,,(971) 048-4408,samuel.jensen@prairiemail.example,Married,,,,,,None,Meets periodically with the school support team line 1,None,Elias Osborne,192.0.2.24,3232633095833695846,
26-Aug-26,Amelia,Langford,Mercer,,Female,"Sep 16, 2016",3,4,Early Years Half Day (4 days per week),,,125 Cottonwood Crescent,,Birch Harbour,Manitoba,Z2P9A4,No,,,,,,Canadian Citizen,No,,,Prairie Hope Church,Baptist,891760273,502272,Grace Vickers,(971) 069-3618,None known,None,Mercer,Benjamin,Yes,,,,,,Fairview Accounting,(971) 093-9777,(971) 058-3734,simon.mercer@prairiemail.example,Mercer,Caleb,Yes,,,,,,Parkland Construction,(971) 175-1172,(971) 039-6812,simon.mercer@prairiemail.example,Married,,,,,,None,None,None,Jonah Morrison,192.0.2.25,3235955072383813171,
26-Aug-26,Clara,Nolan,Osborne,,Female,"Feb 19, 2017",1,2,Early Years Half Day (4 days per week),,,126 Elm Street,,Birch Harbour,MB,Z2P9L9,No,,,,,,Canadian Citizen,Yes,Riverstone Community School,Aspen Valley School Division,Riverstone Fellowship,Christian Reformed,498237,891585924,Levi Fletcher,(971) 976-7808,None,None,Osborne,Daniel,Yes,,,,,,Golden Fields Farms,,(971) 069-9044,sophie.palmer@prairiemail.example,Osborne,Eleanor,Yes,,,,,,Prairie Junction Credit Union,,(971) 069-3926,sophie.palmer@prairiemail.example,Married,,,,,,None,None,None,Naomi Mercer,192.0.2.26,3217904737984151272,
26-Aug-26,Elias,Palmer,Quincy,,Female,"Feb 27, 2012",6,7,,Middle Years Music & Physical Education,,127 Fairview Avenue,,Fairview Ridge,Manitoba,Z7K 7E9,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,,899328067,424736,Oliver Turner,(971) 093-7310,None,None,Quincy,Emma,Yes,,,,,,Lake Briar Library,(971) 058-8252,(971) 058-9921,theo.sawyer@prairiemail.example,Quincy,Ethan,Yes,,,,,,Riverstone Pharmacy,,(971) 561-3919,theo.sawyer@prairiemail.example,Married,,,,,,None,None,None,Simon Collins,192.0.2.27,3210858937983399469,
26-Aug-26,Grace,Reeves,Quincy,,Male,"May 4, 2017",1,2,Early Years Half Day (4 days per week),,,128 Harvest Lane,,Fairview Ridge,Manitoba,Z7K 7E9,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,,891430579,424736,Oliver Turner,(971) 093-7310,None,None,Quincy,Emma,Yes,,,,,,Lake Briar Library,(971) 058-8252,(971) 058-9921,victoria.vickers@prairiemail.example,Quincy,Ethan,Yes,,,,,,Riverstone Pharmacy,,(971) 561-3919,victoria.vickers@prairiemail.example,Married,,,,,,None,None,None,Simon Collins,192.0.2.28,3210842987989246288,
26-Aug-26,Hannah,Palmer,Quincy,,Female,"Dec 22, 2014",5,6,,Middle Years Music & Physical Education,,129 Lakeview Drive,,Fairview Ridge,Manitoba,Z7K 7E9,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,,890930947,424736,Oliver Turner,(971) 093-7310,None,None,Quincy,Emma,Yes,,,,,,Lake Briar Library,(971) 058-8252,(971) 058-9921,william.zimmer@prairiemail.example,Quincy,Ethan,Yes,,,,,,Riverstone Pharmacy,,(971) 561-3919,william.zimmer@prairiemail.example,Married,,,,,,None,None,None,Simon Collins,192.0.2.29,3210855677986131412,
26-Aug-26,Isaac,Iverson,Quincy,,Female,"Dec 23, 2019",K,1,Early Years Half Day (4 days per week),,,130 Maple Bay,,Maple Crossing,Manitoba,Z7K 7E8,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,Christian Reformed,891660073,187482,Victoria Dalton,(971) 413-2476,None,None,Quincy,Jonah,Yes,,,,,,Maple Crossing Market,,(971) 489-3492,zoe.foster@prairiemail.example,Quincy,Julia,Yes,,,,,,Lake Briar Library,,(971) 039-7059,zoe.foster@prairiemail.example,Married,,,,,,None,None,None,Amelia Keller,192.0.2.30,3221468622181404297,
26-Aug-26,Leah,Sawyer,Turner,,Male,"Jun 4, 2012",6,7,,Middle Years Music & Physical Education,,131 Meadowlark Road,,Birch Harbour,MB,Z2P 8W0,Yes,131 Meadowlark Road,,Birch Harbour,MB,Z2P 8W0,Canadian Citizen,Yes,Aspen Ridge School,Aspen Valley School Division,Westfield Church,,899403912,028598,Clara Reeves,(971) 048-1579,,,Turner,Levi,Yes,,,,,,,,(971) 069-7461,amelia.alder@prairiemail.example,Turner,Lucas,Yes,,,,,,,,(971) 013-9377,amelia.alder@prairiemail.example,Married,,,,,,none,none,Receives reading support twice weekly line 1,Elias Zimmer,192.0.2.31,3243715623666673557,
26-Aug-26,Maya,Underwood,Nolan,,Female,"Aug 15, 2012",,7,,Middle Years Music & Physical Education,,132 Oak Ridge,,Aspen Crossing,MB,Z2P9J3,No,,,,,,Canadian Citizen,Yes,Clearwater Elementary,,Harvest Community Fellowship,,899142809,390963,Oliver Turner,(971) 447-8116,,,Nolan,Leah,Yes,,,,,,Cedar Works Cooperative,,(971) 469-1111,benjamin.dalton@prairiemail.example,Nolan,Leah,Yes,,,,,,Aspen Valley Foods,,(971) 147-1272,benjamin.dalton@prairiemail.example,Married,,,,,,None,None,None,Grace Bennett,192.0.2.32,3396487955854807946,
26-Aug-26,Naomi,Vickers,Walker,Nathan,Male,"Dec 13, 2018",1,2,Early Years Half Day (4 days per week),,,133 Parkland Way,,North Willow,Mb,Z7K 7C7,Yes,133 Parkland Way,,North Willow,MB,Z7K 7C7,Canadian Citizen,Yes,Cedar Glen Academy,Aspen Valley School Division,Cedar Grove Community Church,,891514485,053677,Jonah Iverson,(971) 069-1842,,Uses an individualized classroom support plan line 1,Walker,Nora,Yes,,,,,,North Willow Dental,,(971) 048-0044,caleb.gibson@prairiemail.example,Walker,Oliver,Yes,,,,,,Lake Briar Library,,(971) 048-7588,caleb.gibson@prairiemail.example,Married,,,,,,Uses an individualized classroom support plan line 1,Uses an individualized classroom support plan line 1,None,Levi Palmer,192.0.2.33,3241468317465607202,
26-Aug-26,Rachel,Young,Zimmer,Rachel,Male,"Apr 6, 2013",7,7,,Physical Education,,134 Pinecrest Avenue,,Aspen Crossing,Mb,Z2P 9J3,No,,,,,,Canadian Citizen,Yes,Clearwater Elementary,Aspen Valley School Division,Clearwater Fellowship,,899520940,503850,Naomi Walker,(971) 069-3138,Requires access to prescribed medication during school hours line 1,,Zimmer,Samuel,Yes,,,,,,Parkland Construction,(971) 968-7597,(971) 968-7597,clara.jensen@prairiemail.example,Zimmer,Simon,Yes,,,,,,Riverstone Pharmacy,,(971) 287-0794,clara.jensen@prairiemail.example,Married,,,,,,Requires access to prescribed medication during school hours line 1,None,None,Oliver Sullivan,192.0.2.34,3241338964491105832,
26-Aug-26,Sophie,Brooks,Collins,,Female,"Jan 22, 2012",7,8,,Middle Years Music & Physical Education,,135 Prairie Trail,,Maple Crossing,MB,Z7K 7E7,No,,,,,,Canadian Citizen,No,,,Harvest Community Fellowship,Evangelical Free,899035357,142050,Simon Gibson,(971) 022-4826,Has a documented food allergy and carries emergency medication line 1,,Collins,Theo,Yes,,,,,,Prairie Junction Credit Union,(971) 191-2752,(971) 048-6963,daniel.mercer@prairiemail.example,Collins,Victoria,Yes,,,,,,,,(971) 069-4435,daniel.mercer@prairiemail.example,Married,,,,,,None,None,None,Victoria Nolan,192.0.2.35,3212521654653170436,
26-Aug-26,William,Reeves,Foster,,Female,"Mar 20, 2014",4,5,,Middle Years Music & Physical Education,,136 Riverbend Road,,Oak Valley,Manitoba,Z7K7M7,Yes,136 Riverbend Road,,Oak Valley,Manitoba,Z7K7M7,Canadian Citizen,Yes,Prairie Junction Collegiate,Aspen Valley School Division,Clearwater Fellowship,Lutheran,890263935,143077,Amelia Underwood,(971) 622-9318,,,Foster,Zoe,Yes,,,,,,Riverstone Pharmacy,(971) 093-9606,(971) 664-8392,eleanor.palmer@prairiemail.example,Foster,Amelia,Yes,,,,,,Lake Briar Library,,(971) 622-9318,eleanor.palmer@prairiemail.example,Married,,,,,,None,None,None,Clara Foster,192.0.2.36,3211214541794872493,
26-Aug-26,Benjamin,Morrison,Sullivan,,Female,"Jan 27, 2012",8,8,,Physical Education,,137 Silverleaf Crescent,,Oak Valley,MB,Z7K 7M8,No,,,,,,Canadian Citizen,Yes,Lake Briar Collegiate,Aspen Valley School Division,Riverstone Fellowship,Evangelical Free,899973696,293955,Elias Ellis,(971) 058-7152,,,Sullivan,Caleb,Yes,,,,,,Aspen Valley Foods,,(971) 058-6894,elias.sawyer@prairiemail.example,Sullivan,Clara,Yes,,,,,,Cedar Works Cooperative,(971) 093-6232,(971) 175-1862,elias.sawyer@prairiemail.example,Married,,,,,,None,None,None,Grace Langford,192.0.2.37,3383567497889981666,
26-Aug-26,Daniel,Alder,Sullivan,,Male,"Nov 4, 2014",5,5,,Physical Education,,138 Spruce Street,,Oak Valley,MB,Z7K 7M8,No,,,,,,Canadian Citizen,No,,,Riverstone Fellowship,Evangelical Free,890214853,293955,Elias Ellis,(971) 058-7152,,,Sullivan,Caleb,Yes,,,,,,Aspen Valley Foods,,(971) 058-6894,emma.vickers@prairiemail.example,Sullivan,Clara,Yes,,,,,,Cedar Works Cooperative,(971) 093-6232,(971) 175-1862,emma.vickers@prairiemail.example,Married,,,,,,None,None,None,Grace Langford,192.0.2.38,3383563477882336917,
