Contact Demographics,,,,,,,,,,,Email Address,,,,Phone Number,,,,,,,Address ,,,,,,,,,,,,,,Student,,,Relationship Information,,,,,Relationship Flags,,,,
New Contact Identifier,Contact ID,prefix,firstName,middleName,lastName,suffix,gender,employer,stateContactNumber,isActive,emailAddress,Contact Email Address ID,emailType,isPrimaryEmailAddress,phoneNumberAsEntered,extension,Contact Phone Number ID,phoneType,phoneNumberPriorityOrder,isSMS,isPreferred,street,linetwo,unit,city,state,postalCode,geocodeLatitude,geocodeLongitude,addressType,addressPriorityOrder,Contact Address ID,addressStartDate,addressEndDate,* NOT MAPPED *,studentNumber,Contact Priority Order,Student Contact ID,originalContactType,relationshipType,relationshipNote,relationshipStartDate,relationshipEndDate,contactHasCustody,contactLivesWith,contactAllowSchoolPickup,isEmergencyContact,contactReceivesMailings
10,,Mr.,Cameron,Scott,Tucker,,M,,,1,fizbo@gmail.com,,Current,1,555-607-8412 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Father,Adopted 9/23/2009,2009-09-23,,1,1,1,,1
10,,,,,,,,,,,,,,,555-607-2018 ,,,Home,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Mr.,Mitchell,Vincent,Pritchett,,M,Grady and Associates LLP,,1,cmitchell@gradyassoc.com,,Current,1,555-607-7303 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Father,Adopted 9/23/2009,2009-09-23,,1,1,1,,1
12,,Mrs.,Claire,Pritchett,Dunphy,,F,Pritchett's Closets & Blinds,,1,claire@pritchett-closets.com,,Current,1,555-607-4717 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Aunt,,,,,,1,1,
13,,Mr.,Jason,"""Jay""",Pritchett,,M,Pritchett's Closets & Blinds,,1,jay@pritchett-closets.com,,Current,1,555-602-2100 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Grandfather,,,,,,1,1,
14,,Mrs.,Glóría,Marie,Delgado-Pritchett ,,F,,,1,,,,,555-607-8456 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Grandmother,,,,,,,1,
15,,Mr.,Phil,,Dunphy,,M,,,1,,,,,555-607-4900 ,,,Mobile,1,1,1,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Uncle,,,,,,1,1,
16,,Mrs.,Barb,,Tucker,,F,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Tucker-Pritchett, Lily Elizabeth",20122025,,,,Grandmother,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Mr.,Nice,,Guy,,M,,,,updated@email.com,1111,,,111-222-3333,,2222,Home,2,,,1234 Updated Address,,,,,,,,,,1234,,,,,1,55555,Father,,,,,,,,,
,1,,,,,,,,,,anotherupdated@email.com,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,Ms.,Jane,Doe,#delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
